output,species,iteration,value
y_hat_test,Ammonium-N,0,0.04941729724259992
y_hat_test,Ammonium-N,0,0.06540497221900148
y_hat_test,Ammonium-N,0,0.06343355713660703
y_hat_test,Ammonium-N,0,0.07455839400605446
y_hat_test,Ammonium-N,0,0.06583457646131077
y_hat_test,Ammonium-N,0,0.05827948871076302
y_hat_test,Ammonium-N,0,0.07384568408714529
y_hat_test,Ammonium-N,0,0.047691990490772565
y_hat_test,Ammonium-N,0,0.05948565317627183
y_hat_test,Ammonium-N,0,0.060088347578398676
y_hat_test,Ammonium-N,0,0.0767047711858157
y_hat_test,Ammonium-N,0,0.06566845029991099
y_hat_test,Ammonium-N,0,0.08635462049133381
y_hat_train,Ammonium-N,0,0.0744911499912185
y_hat_train,Ammonium-N,0,0.06997888162110186
y_hat_train,Ammonium-N,0,0.07178582866915258
y_hat_train,Ammonium-N,0,0.11357627288457198
y_hat_train,Ammonium-N,0,0.06677252622424226
y_hat_train,Ammonium-N,0,0.06608569285486164
y_hat_train,Ammonium-N,0,0.0855496445599524
y_hat_train,Ammonium-N,0,0.058863826055031106
y_hat_train,Ammonium-N,0,0.05706887656821038
y_hat_train,Ammonium-N,0,0.07419204328415496
y_hat_train,Ammonium-N,0,0.0656356749342336
y_hat_train,Ammonium-N,0,0.06337798169505054
y_hat_train,Ammonium-N,0,0.06556944163358067
y_hat_train,Ammonium-N,0,0.0638526951903297
y_hat_train,Ammonium-N,0,0.06653741346633305
y_hat_train,Ammonium-N,0,0.0623097930031684
y_hat_train,Ammonium-N,0,0.0571643826513882
y_hat_train,Ammonium-N,0,0.05635434528391668
y_hat_train,Ammonium-N,0,0.0633029614563143
y_hat_train,Ammonium-N,0,0.06027660940866092
y_hat_train,Ammonium-N,0,0.06678975255025058
y_hat_train,Ammonium-N,0,0.06154236354227028
y_hat_train,Ammonium-N,0,0.06308210711798569
y_hat_train,Ammonium-N,0,0.06695972895976587
y_hat_train,Ammonium-N,0,0.05780785251238223
y_hat_train,Ammonium-N,0,0.07056674517094619
y_hat_train,Ammonium-N,0,0.07828756601697678
y_hat_train,Ammonium-N,0,0.058932812693948775
y_true_train,Ammonium-N,0,0.270233333
y_true_train,Ammonium-N,0,0.0142
y_true_train,Ammonium-N,0,0.013811805
y_true_train,Ammonium-N,0,0.103817696
y_true_train,Ammonium-N,0,0.099783572
y_true_train,Ammonium-N,0,0.014438093
y_true_train,Ammonium-N,0,0.011533333
y_true_train,Ammonium-N,0,0.0393
y_true_train,Ammonium-N,0,0.0175
y_true_train,Ammonium-N,0,0.019033333
y_true_train,Ammonium-N,0,0.014438093
y_true_train,Ammonium-N,0,0.099783572
y_true_train,Ammonium-N,0,0.0134
y_true_train,Ammonium-N,0,0.030533333
y_true_train,Ammonium-N,0,0.0134
y_true_train,Ammonium-N,0,0.262866667
y_true_train,Ammonium-N,0,0.0491
y_true_train,Ammonium-N,0,0.0175
y_true_train,Ammonium-N,0,0.020366667
y_true_train,Ammonium-N,0,0.014438093
y_true_train,Ammonium-N,0,0.030533333
y_true_train,Ammonium-N,0,0.103817696
y_true_train,Ammonium-N,0,0.0175
y_true_train,Ammonium-N,0,0.008786351
y_true_train,Ammonium-N,0,0.0393
y_true_train,Ammonium-N,0,0.0142
y_true_train,Ammonium-N,0,0.270233333
y_true_train,Ammonium-N,0,0.262866667
y_true_test,Ammonium-N,0,0.0491
y_true_test,Ammonium-N,0,0.130166667
y_true_test,Ammonium-N,0,0.015833333
y_true_test,Ammonium-N,0,0.019033333
y_true_test,Ammonium-N,0,0.018795568
y_true_test,Ammonium-N,0,0.020366667
y_true_test,Ammonium-N,0,0.0067
y_true_test,Ammonium-N,0,0.008786351
y_true_test,Ammonium-N,0,0.130166667
y_true_test,Ammonium-N,0,0.015833333
y_true_test,Ammonium-N,0,0.0067
y_true_test,Ammonium-N,0,0.0175
y_true_test,Ammonium-N,0,0.011533333
test_ind,Ammonium-N,0,233.0
test_ind,Ammonium-N,0,307.0
test_ind,Ammonium-N,0,260.0
test_ind,Ammonium-N,0,28.0
test_ind,Ammonium-N,0,117.0
test_ind,Ammonium-N,0,275.0
test_ind,Ammonium-N,0,248.0
test_ind,Ammonium-N,0,119.0
test_ind,Ammonium-N,0,312.0
test_ind,Ammonium-N,0,267.0
test_ind,Ammonium-N,0,255.0
test_ind,Ammonium-N,0,131.0
test_ind,Ammonium-N,0,382.0
train_ind,Ammonium-N,0,15.0
train_ind,Ammonium-N,0,393.0
train_ind,Ammonium-N,0,128.0
train_ind,Ammonium-N,0,124.0
train_ind,Ammonium-N,0,133.0
train_ind,Ammonium-N,0,125.0
train_ind,Ammonium-N,0,377.0
train_ind,Ammonium-N,0,60.0
train_ind,Ammonium-N,0,122.0
train_ind,Ammonium-N,0,35.0
train_ind,Ammonium-N,0,126.0
train_ind,Ammonium-N,0,123.0
train_ind,Ammonium-N,0,291.0
train_ind,Ammonium-N,0,52.0
train_ind,Ammonium-N,0,288.0
train_ind,Ammonium-N,0,3.0
train_ind,Ammonium-N,0,245.0
train_ind,Ammonium-N,0,121.0
train_ind,Ammonium-N,0,280.0
train_ind,Ammonium-N,0,135.0
train_ind,Ammonium-N,0,45.0
train_ind,Ammonium-N,0,134.0
train_ind,Ammonium-N,0,132.0
train_ind,Ammonium-N,0,129.0
train_ind,Ammonium-N,0,61.0
train_ind,Ammonium-N,0,391.0
train_ind,Ammonium-N,0,24.0
train_ind,Ammonium-N,0,0.0
test_rsq,Ammonium-N,0,-0.7008600244215661
train_rsq,Ammonium-N,0,0.016557007580107697
test_rmse,Ammonium-N,0,0.054764276855979815
train_rmse,Ammonium-N,0,0.08576733780703956
test_mape,Ammonium-N,0,371.29130132678864
train_mape,Ammonium-N,0,224.8727409563384
n_comp,Ammonium-N,0,1.0
y_hat_test,Ammonium-N,1,0.018697923689038477
y_hat_test,Ammonium-N,1,0.025024130963811703
y_hat_test,Ammonium-N,1,0.07915806953604701
y_hat_test,Ammonium-N,1,-0.0071716009533983605
y_hat_test,Ammonium-N,1,0.046379680510284814
y_hat_test,Ammonium-N,1,0.020048480968824382
y_hat_test,Ammonium-N,1,0.061446208174967154
y_hat_test,Ammonium-N,1,0.07787955337257416
y_hat_test,Ammonium-N,1,0.0651851183411455
y_hat_test,Ammonium-N,1,0.06140956424066096
y_hat_test,Ammonium-N,1,0.06533327549920487
y_hat_test,Ammonium-N,1,0.07783429566139084
y_hat_test,Ammonium-N,1,0.02242251309785071
y_hat_train,Ammonium-N,1,0.07643009481577355
y_hat_train,Ammonium-N,1,0.06454265682135264
y_hat_train,Ammonium-N,1,0.0800217836266289
y_hat_train,Ammonium-N,1,0.05286603825456415
y_hat_train,Ammonium-N,1,0.011646372485005323
y_hat_train,Ammonium-N,1,0.07018728358271943
y_hat_train,Ammonium-N,1,0.02841017533783456
y_hat_train,Ammonium-N,1,0.04960431585045295
y_hat_train,Ammonium-N,1,0.038775387711644585
y_hat_train,Ammonium-N,1,0.06173961310512939
y_hat_train,Ammonium-N,1,0.0510878820577487
y_hat_train,Ammonium-N,1,0.06533228649556837
y_hat_train,Ammonium-N,1,0.04357620387332868
y_hat_train,Ammonium-N,1,0.06615530982068028
y_hat_train,Ammonium-N,1,0.03683616828953833
y_hat_train,Ammonium-N,1,0.07117377426819618
y_hat_train,Ammonium-N,1,0.036464342811697026
y_hat_train,Ammonium-N,1,0.05582741241145031
y_hat_train,Ammonium-N,1,0.07884442905500991
y_hat_train,Ammonium-N,1,0.046148922503004494
y_hat_train,Ammonium-N,1,0.07887789433137773
y_hat_train,Ammonium-N,1,0.03965236271544778
y_hat_train,Ammonium-N,1,0.012367085618642172
y_hat_train,Ammonium-N,1,0.06833095401550668
y_hat_train,Ammonium-N,1,0.06563894955618849
y_hat_train,Ammonium-N,1,0.06388175440821842
y_hat_train,Ammonium-N,1,0.07201844085415765
y_hat_train,Ammonium-N,1,-0.008533383676866402
y_true_train,Ammonium-N,1,0.0134
y_true_train,Ammonium-N,1,0.015833333
y_true_train,Ammonium-N,1,0.020366667
y_true_train,Ammonium-N,1,0.0142
y_true_train,Ammonium-N,1,0.019033333
y_true_train,Ammonium-N,1,0.099783572
y_true_train,Ammonium-N,1,0.018795568
y_true_train,Ammonium-N,1,0.130166667
y_true_train,Ammonium-N,1,0.014438093
y_true_train,Ammonium-N,1,0.0491
y_true_train,Ammonium-N,1,0.130166667
y_true_train,Ammonium-N,1,0.0175
y_true_train,Ammonium-N,1,0.013811805
y_true_train,Ammonium-N,1,0.0491
y_true_train,Ammonium-N,1,0.030533333
y_true_train,Ammonium-N,1,0.0175
y_true_train,Ammonium-N,1,0.030533333
y_true_train,Ammonium-N,1,0.0142
y_true_train,Ammonium-N,1,0.262866667
