output,species,iteration,value
y_hat_test,Ammonium-N,0,0.0705440565943718
y_hat_test,Ammonium-N,0,0.05229998379945755
y_hat_test,Ammonium-N,0,0.08259102702140808
y_hat_test,Ammonium-N,0,0.05211687460541725
y_hat_test,Ammonium-N,0,0.06037651374936104
y_hat_test,Ammonium-N,0,0.07056261599063873
y_hat_test,Ammonium-N,0,0.06293415278196335
y_hat_test,Ammonium-N,0,0.07126262784004211
y_hat_test,Ammonium-N,0,0.06449133902788162
y_hat_test,Ammonium-N,0,0.06523449718952179
y_hat_test,Ammonium-N,0,0.084602952003479
y_hat_test,Ammonium-N,0,0.0672982707619667
y_hat_test,Ammonium-N,0,0.05875172093510628
y_hat_test,Ammonium-N,0,0.05614575743675232
y_hat_test,Ammonium-N,0,0.05175767466425896
y_hat_test,Ammonium-N,0,0.05990931764245033
y_hat_test,Ammonium-N,0,0.07626623660326004
y_hat_test,Ammonium-N,0,0.05391262471675873
y_hat_test,Ammonium-N,0,0.05954955890774727
y_hat_test,Ammonium-N,0,0.07418778538703918
y_hat_test,Ammonium-N,0,0.06085675582289696
y_hat_test,Ammonium-N,0,0.0691363587975502
y_hat_test,Ammonium-N,0,0.0859246626496315
y_hat_test,Ammonium-N,0,0.055818259716033936
y_hat_test,Ammonium-N,0,0.050867874175310135
y_hat_test,Ammonium-N,0,0.058468788862228394
y_hat_test,Ammonium-N,0,0.07505825906991959
y_hat_test,Ammonium-N,0,0.08087750524282455
y_hat_test,Ammonium-N,0,0.06359793245792389
y_hat_test,Ammonium-N,0,0.05602091923356056
y_hat_test,Ammonium-N,0,0.07275941967964172
y_hat_test,Ammonium-N,0,0.05912904068827629
y_hat_test,Ammonium-N,0,0.0586981363594532
y_hat_test,Ammonium-N,0,0.046375349164009094
y_hat_test,Ammonium-N,0,0.05469641089439392
y_hat_test,Ammonium-N,0,0.055781349539756775
y_hat_test,Ammonium-N,0,0.0749782994389534
y_hat_test,Ammonium-N,0,0.05050927773118019
y_hat_test,Ammonium-N,0,0.05841764807701111
y_hat_test,Ammonium-N,0,0.07579497247934341
y_hat_test,Ammonium-N,0,0.07501373440027237
y_hat_test,Ammonium-N,0,0.05997009947896004
y_hat_test,Ammonium-N,0,0.06184097006917
y_hat_test,Ammonium-N,0,0.07575318962335587
y_hat_test,Ammonium-N,0,0.055456433445215225
y_hat_test,Ammonium-N,0,0.06912451982498169
y_hat_train,Ammonium-N,0,0.06821659952402115
y_hat_train,Ammonium-N,0,0.053727131336927414
y_hat_train,Ammonium-N,0,0.058937493711709976
y_hat_train,Ammonium-N,0,0.059676606208086014
y_hat_train,Ammonium-N,0,0.06941171735525131
y_hat_train,Ammonium-N,0,0.06409525871276855
y_hat_train,Ammonium-N,0,0.061376798897981644
y_hat_train,Ammonium-N,0,0.05415298417210579
y_hat_train,Ammonium-N,0,0.06573523581027985
y_hat_train,Ammonium-N,0,0.045881226658821106
y_hat_train,Ammonium-N,0,0.05232420563697815
y_hat_train,Ammonium-N,0,0.07451099157333374
y_hat_train,Ammonium-N,0,0.05614611878991127
y_hat_train,Ammonium-N,0,0.06176656112074852
y_hat_train,Ammonium-N,0,0.06603161990642548
y_hat_train,Ammonium-N,0,0.05443490669131279
y_hat_train,Ammonium-N,0,0.05583234503865242
y_hat_train,Ammonium-N,0,0.06027453765273094
y_hat_train,Ammonium-N,0,0.0648302435874939
y_hat_train,Ammonium-N,0,0.07670775800943375
y_hat_train,Ammonium-N,0,0.08321487903594971
