output,species,iteration,value
y_hat_test,Ammonium-N,0,0.08750838420367986
y_hat_test,Ammonium-N,0,0.05320631566467221
y_hat_test,Ammonium-N,0,0.07311718265605531
y_hat_test,Ammonium-N,0,0.07684191310901944
y_hat_test,Ammonium-N,0,0.055881801902850754
y_hat_test,Ammonium-N,0,0.11027643754187193
y_hat_test,Ammonium-N,0,0.06050390200117446
y_hat_test,Ammonium-N,0,0.05524002625368201
y_hat_test,Ammonium-N,0,0.04386591825982899
y_hat_test,Ammonium-N,0,0.04933323350424781
y_hat_test,Ammonium-N,0,0.054916052911527735
y_hat_test,Ammonium-N,0,0.05531145370400802
y_hat_test,Ammonium-N,0,0.04727591388169446
y_hat_test,Ammonium-N,0,0.05636722675991904
y_hat_test,Ammonium-N,0,0.04036188240736851
y_hat_test,Ammonium-N,0,0.048563635631831394
y_hat_test,Ammonium-N,0,0.10118245953477699
y_hat_test,Ammonium-N,0,0.050394549933838045
y_hat_test,Ammonium-N,0,0.04468387890119658
y_hat_test,Ammonium-N,0,0.06869226974629716
y_hat_test,Ammonium-N,0,0.048789415761313085
y_hat_test,Ammonium-N,0,0.07078180041118155
y_hat_test,Ammonium-N,0,0.049066555972409144
y_hat_test,Ammonium-N,0,0.05546976500031715
y_hat_test,Ammonium-N,0,0.06663023230415935
y_hat_test,Ammonium-N,0,0.06943472247111947
y_hat_test,Ammonium-N,0,0.07673480863807361
y_hat_test,Ammonium-N,0,0.09693686452804563
y_hat_test,Ammonium-N,0,0.07549692179912298
y_hat_test,Ammonium-N,0,0.04281783779364524
y_hat_test,Ammonium-N,0,0.07210212208677363
y_hat_test,Ammonium-N,0,0.10267311955818609
y_hat_test,Ammonium-N,0,0.06076539237160969
y_hat_test,Ammonium-N,0,0.06268393984232974
y_hat_test,Ammonium-N,0,0.07686456134818465
y_hat_test,Ammonium-N,0,0.08758302292370126
y_hat_test,Ammonium-N,0,0.07141803259940985
y_hat_test,Ammonium-N,0,0.06080436524042386
y_hat_test,Ammonium-N,0,0.0720492052859683
y_hat_test,Ammonium-N,0,0.05525418555528598
y_hat_test,Ammonium-N,0,0.05483569377360041
y_hat_test,Ammonium-N,0,0.04191320340021659
y_hat_test,Ammonium-N,0,0.04746707199068774
y_hat_test,Ammonium-N,0,0.06230522010157118
y_hat_test,Ammonium-N,0,0.07083437495589975
