output,species,iteration,value
y_hat_test,Ammonium-N,10,0.000119279
y_hat_test,Ammonium-N,10,-0.037251439
y_hat_test,Ammonium-N,10,-0.021311553
y_hat_test,Ammonium-N,10,0.440780872
y_hat_test,Ammonium-N,10,-0.096671081
y_hat_test,Ammonium-N,10,0.088916368
y_hat_test,Ammonium-N,10,0.074452481
y_hat_test,Ammonium-N,10,0.1192775
y_hat_test,Ammonium-N,10,0.177303051
y_hat_test,Ammonium-N,10,0.02192517
y_hat_test,Ammonium-N,10,0.052826817
y_hat_test,Ammonium-N,10,-0.080721061
y_hat_test,Ammonium-N,10,-0.067734103
y_hat_test,Ammonium-N,10,0.000655465
y_hat_test,Ammonium-N,10,0.131657218
y_hat_test,Ammonium-N,10,0.121752029
y_hat_test,Ammonium-N,10,0.038475716
y_hat_test,Ammonium-N,10,-0.044001943
y_hat_test,Ammonium-N,10,-0.004186639
y_hat_test,Ammonium-N,10,0.086696221
y_hat_test,Ammonium-N,10,-0.025962669
y_hat_test,Ammonium-N,10,0.070817851
y_hat_test,Ammonium-N,10,0.095538443
y_hat_test,Ammonium-N,10,0.190284532
y_hat_test,Ammonium-N,10,0.062049189
y_hat_test,Ammonium-N,10,0.054186091
y_hat_test,Ammonium-N,10,0.151706587
y_hat_test,Ammonium-N,10,-0.042584762
y_hat_test,Ammonium-N,10,0.057798722
y_hat_test,Ammonium-N,10,0.019487053
y_hat_test,Ammonium-N,10,-0.043196647
y_hat_test,Ammonium-N,10,-0.052155231
y_hat_test,Ammonium-N,10,-0.048708891
y_hat_test,Ammonium-N,10,-0.053481885
y_hat_test,Ammonium-N,10,0.156060639
y_hat_test,Ammonium-N,10,0.03967705
y_hat_test,Ammonium-N,10,-0.023347708
y_hat_test,Ammonium-N,10,0.039062972
y_hat_test,Ammonium-N,10,0.00793459
y_hat_test,Ammonium-N,10,-0.034902751
y_hat_test,Ammonium-N,10,0.194860674
y_hat_test,Ammonium-N,10,0.05798269
y_hat_test,Ammonium-N,10,0.025639944
y_hat_test,Ammonium-N,10,0.025016669
y_hat_test,Ammonium-N,10,0.029033874
y_hat_test,Ammonium-N,10,-0.032194617
y_hat_test,Ammonium-N,10,-0.087960213
y_hat_test,Ammonium-N,10,0.133004001
y_hat_test,Ammonium-N,10,-0.016019515
y_hat_test,Ammonium-N,10,0.1031784
y_hat_test,Ammonium-N,10,0.104659918
y_hat_test,Ammonium-N,10,0.0510815
y_hat_test,Ammonium-N,10,0.01078669
y_hat_test,Ammonium-N,10,0.083346134
y_hat_test,Ammonium-N,10,0.12794516
y_hat_test,Ammonium-N,10,0.054080128
y_hat_test,Ammonium-N,10,0.050609974
y_hat_test,Ammonium-N,10,0.038173322
y_hat_test,Ammonium-N,10,-0.042512103
y_hat_test,Ammonium-N,10,0.131221821
y_hat_test,Ammonium-N,10,0.13245985
y_hat_test,Ammonium-N,10,0.158427876
y_hat_test,Ammonium-N,10,-0.051485236
y_hat_test,Ammonium-N,10,-0.046194591
y_hat_test,Ammonium-N,10,0.066544399
y_hat_test,Ammonium-N,10,0.103286386
y_hat_test,Ammonium-N,10,-0.05931053
y_hat_test,Ammonium-N,10,0.083846073
y_hat_test,Ammonium-N,10,0.007545622
y_hat_test,Ammonium-N,10,0.013404423
y_hat_test,Ammonium-N,10,0.109725311
y_hat_test,Ammonium-N,10,0.09076179
y_hat_test,Ammonium-N,10,0.042448666
y_hat_test,Ammonium-N,10,-0.001728151
y_hat_test,Ammonium-N,10,-0.071632784
y_hat_test,Ammonium-N,10,0.193088322
y_hat_test,Ammonium-N,10,0.006047644
y_hat_test,Ammonium-N,10,0.063624666
y_hat_test,Ammonium-N,10,0.019961278
y_hat_test,Ammonium-N,10,0.013416175
y_hat_test,Ammonium-N,10,0.135088494
y_hat_test,Ammonium-N,10,0.002282325
y_hat_test,Ammonium-N,10,0.030791466
y_hat_test,Ammonium-N,10,0.089749913
y_hat_test,Ammonium-N,10,0.094666666
y_hat_test,Ammonium-N,10,0.144167005
y_hat_test,Ammonium-N,10,0.035734261
y_hat_test,Ammonium-N,10,0.066357171
y_hat_test,Ammonium-N,10,0.090544973
y_hat_test,Ammonium-N,10,0.095692709
y_hat_test,Ammonium-N,10,0.067815897
y_hat_test,Ammonium-N,10,0.015510211
y_hat_test,Ammonium-N,10,0.079659029
y_hat_test,Ammonium-N,10,0.039450216
y_hat_test,Ammonium-N,10,0.116578007
y_hat_test,Ammonium-N,10,0.135424031
y_hat_test,Ammonium-N,10,-0.040875732
y_hat_test,Ammonium-N,10,-0.042987495
y_hat_test,Ammonium-N,10,-0.00889365
y_hat_test,Ammonium-N,10,-0.056059698
y_hat_test,Ammonium-N,10,0.161194301
y_hat_test,Ammonium-N,10,0.138850063
y_hat_test,Ammonium-N,10,-0.022768813
y_hat_test,Ammonium-N,10,0.01015155
y_hat_test,Ammonium-N,10,0.148729457
y_hat_test,Ammonium-N,10,0.023425915
y_hat_test,Ammonium-N,10,0.109781693
y_hat_train,Ammonium-N,10,0.014081397
y_hat_train,Ammonium-N,10,0.074027137
y_hat_train,Ammonium-N,10,0.053617221
y_hat_train,Ammonium-N,10,0.04043457
y_hat_train,Ammonium-N,10,0.01432712
y_hat_train,Ammonium-N,10,-0.017475052
y_hat_train,Ammonium-N,10,0.2612411
y_hat_train,Ammonium-N,10,0.041800105
y_hat_train,Ammonium-N,10,0.117529191
y_hat_train,Ammonium-N,10,0.056711256
y_hat_train,Ammonium-N,10,0.032140482
y_hat_train,Ammonium-N,10,0.086310329
y_hat_train,Ammonium-N,10,0.025093729
y_hat_train,Ammonium-N,10,0.086057487
y_hat_train,Ammonium-N,10,0.131788798
y_hat_train,Ammonium-N,10,0.00948331
y_hat_train,Ammonium-N,10,0.035788519
y_hat_train,Ammonium-N,10,0.026716737
y_hat_train,Ammonium-N,10,-0.002623418
y_hat_train,Ammonium-N,10,0.079710509
y_hat_train,Ammonium-N,10,0.014283706
y_hat_train,Ammonium-N,10,0.341716558
y_hat_train,Ammonium-N,10,-0.01318483
y_hat_train,Ammonium-N,10,0.325255489
y_hat_train,Ammonium-N,10,0.073179695
y_hat_train,Ammonium-N,10,0.039051855
y_hat_train,Ammonium-N,10,0.049765574
y_hat_train,Ammonium-N,10,0.072465862
y_hat_train,Ammonium-N,10,0.035805784
y_hat_train,Ammonium-N,10,0.133696754
y_hat_train,Ammonium-N,10,0.108820232
y_hat_train,Ammonium-N,10,0.080750656
y_hat_train,Ammonium-N,10,-0.031172735
y_hat_train,Ammonium-N,10,0.028800916
y_hat_train,Ammonium-N,10,-0.006476183
y_hat_train,Ammonium-N,10,0.074948554
y_hat_train,Ammonium-N,10,0.122336815
y_hat_train,Ammonium-N,10,0.052204288
y_hat_train,Ammonium-N,10,0.067944039
y_hat_train,Ammonium-N,10,0.046532914
y_hat_train,Ammonium-N,10,0.04936305
y_hat_train,Ammonium-N,10,0.045828539
y_hat_train,Ammonium-N,10,0.123534493
y_hat_train,Ammonium-N,10,0.075226403
y_hat_train,Ammonium-N,10,0.128951561
y_hat_train,Ammonium-N,10,0.08348437
y_hat_train,Ammonium-N,10,-0.050954705
y_hat_train,Ammonium-N,10,-0.040302115
y_hat_train,Ammonium-N,10,0.031220273
y_hat_train,Ammonium-N,10,0.240179025
y_hat_train,Ammonium-N,10,0.083166032
y_hat_train,Ammonium-N,10,0.037908645
y_hat_train,Ammonium-N,10,0.001862412
y_hat_train,Ammonium-N,10,-0.026959241
y_hat_train,Ammonium-N,10,0.00455945
